Season,Date,Left,Joined,MV,Fee,player
18/19,"Jul 1, 2018",Monaco,Paris SG,€120.00m,€145.00m,Kylian Mbappé
17/18,"Jun 30, 2018",Paris SG,Monaco,€120.00m,End of loan,Kylian Mbappé
17/18,"Aug 31, 2017",Monaco,Paris SG,€35.00m,loan transfer,Kylian Mbappé
15/16,"Dec 1, 2015",Monaco U19,Monaco,-,-,Kylian Mbappé
15/16,"Jul 1, 2015",Monaco Youth,Monaco U19,-,-,Kylian Mbappé
13/14,"Jul 1, 2013",AS Bondy Youth,Monaco Youth,-,free transfer,Kylian Mbappé
12/13,"May 14, 2013",Leicester,Spurs,€500Th.,End of loan,Harry Kane
12/13,"Feb 21, 2013",Spurs,Leicester,€500Th.,loan transfer,Harry Kane
12/13,"Feb 1, 2013",Norwich,Spurs,€500Th.,End of loan,Harry Kane
12/13,"Aug 31, 2012",Spurs,Norwich,-,loan transfer,Harry Kane
11/12,"May 31, 2012",Millwall,Spurs,-,End of loan,Harry Kane
11/12,"Jan 1, 2012",Spurs,Millwall,-,loan transfer,Harry Kane
10/11,"May 31, 2011",Leyton Orient,Spurs,-,End of loan,Harry Kane
10/11,"Jan 7, 2011",Spurs,Leyton Orient,-,loan transfer,Harry Kane
10/11,"Jan 1, 2011",Spurs U18,Spurs,-,-,Harry Kane
09/10,"Jul 1, 2009",Tottenham Yth.,Spurs U18,-,-,Harry Kane
19/20,"Jan 1, 2020",RB Salzburg,Bor. Dortmund,€45.00m,€20.00m,Erling Haaland
18/19,"Jan 1, 2019",Molde,RB Salzburg,€5.00m,€8.00m,Erling Haaland
16/17,"Feb 1, 2017",Bryne FK,Molde,€200Th.,€100Th.,Erling Haaland
15/16,"Sep 8, 2015",Bryne FK U19,Bryne FK,-,-,Erling Haaland
17/18,"Jul 1, 2017",AS Roma,Liverpool,€35.00m,€42.00m,Mohamed Salah
16/17,"Jul 1, 2016",Chelsea,AS Roma,€23.00m,€15.00m,Mohamed Salah
15/16,"Jun 30, 2016",AS Roma,Chelsea,€23.00m,End of loan,Mohamed Salah
15/16,"Aug 6, 2015",Chelsea,AS Roma,€18.00m,Loan fee:€5.00m,Mohamed Salah
14/15,"Jun 30, 2015",Fiorentina,Chelsea,€12.00m,End of loan,Mohamed Salah
14/15,"Feb 2, 2015",Chelsea,Fiorentina,€13.00m,loan transfer,Mohamed Salah
13/14,"Jan 26, 2014",FC Basel,Chelsea,€8.50m,€16.50m,Mohamed Salah
12/13,"Jul 1, 2012",El Mokawloon,FC Basel,€1.50m,€2.50m,Mohamed Salah
09/10,"May 1, 2010",Mokawloon U23,El Mokawloon,-,-,Mohamed Salah
17/18,"Aug 3, 2017",FC Barcelona,Paris SG,€100.00m,€222.00m,Neymar
13/14,"Jul 1, 2013",Santos FC,FC Barcelona,€50.00m,€88.20m,Neymar
08/09,"Jan 1, 2009",Santos FC U20,Santos FC,-,-,Neymar
17/18,"Aug 31, 2017",Man City U18,Bor. Dortmund,-,€7.84m,Jadon Sancho
16/17,"Jul 1, 2016",Man City Youth,Man City U18,-,-,Jadon Sancho
14/15,"Mar 7, 2015",Watford Yth.,Man City Youth,-,€172Th.,Jadon Sancho
16/17,"Jul 1, 2016",Liverpool U18,Liverpool,-,-,Trent Alexander-Arnold
15/16,"Jul 1, 2015",Liverpool Youth,Liverpool U18,-,-,Trent Alexander-Arnold
16/17,"Jul 1, 2016",Southampton,Liverpool,€20.00m,€41.20m,Sadio Mané
14/15,"Sep 1, 2014",RB Salzburg,Southampton,€7.50m,€23.00m,Sadio Mané
12/13,"Aug 31, 2012",FC Metz,RB Salzburg,€500Th.,€4.00m,Sadio Mané
11/12,"Jan 1, 2012",FC Metz B,FC Metz,-,-,Sadio Mané
11/12,"Jul 1, 2011",Génération Foot,FC Metz B,-,?,Sadio Mané
15/16,"Jul 14, 2015",Liverpool,Man City,€40.00m,€63.70m,Raheem Sterling
12/13,"Jul 1, 2012",Liverpool U18,Liverpool,-,-,Raheem Sterling
09/10,"Feb 16, 2010",QPR U18,Liverpool U18,-,€700Th.,Raheem Sterling
15/16,"Aug 30, 2015",VfL Wolfsburg,Man City,€45.00m,€76.00m,Kevin De Bruyne
13/14,"Jan 18, 2014",Chelsea,VfL Wolfsburg,€15.00m,€22.00m,Kevin De Bruyne
12/13,"Jun 30, 2013",Werder Bremen,Chelsea,€10.00m,End of loan,Kevin De Bruyne
12/13,"Aug 2, 2012",Chelsea,Werder Bremen,€9.00m,Loan fee:€450Th.,Kevin De Bruyne
11/12,"Jun 30, 2012",KRC Genk,Chelsea,€9.00m,End of loan,Kevin De Bruyne
11/12,"Feb 1, 2012",Chelsea,KRC Genk,€9.00m,loan transfer,Kevin De Bruyne
11/12,"Jan 31, 2012",KRC Genk,Chelsea,€9.00m,€8.00m,Kevin De Bruyne
08/09,"Jul 1, 2008",KRC Genk U19,KRC Genk,-,-,Kevin De Bruyne
07/08,"Jul 1, 2007",KRC Genk U17,KRC Genk U19,-,-,Kevin De Bruyne
06/07,"Jul 1, 2006",KRC Genk Youth,KRC Genk U17,-,-,Kevin De Bruyne
05/06,"Jul 1, 2005",KAA Gent Youth,KRC Genk Youth,-,free transfer,Kevin De Bruyne
19/20,"Jan 29, 2020",Sporting CP,Man Utd,€60.00m,€55.00m,Bruno Fernandes
17/18,"Jul 2, 2017",Sampdoria,Sporting CP,€7.50m,€9.70m,Bruno Fernandes
17/18,"Jul 1, 2017",Udinese Calcio,Sampdoria,€7.50m,€6.00m,Bruno Fernandes
16/17,"Jun 30, 2017",Sampdoria,Udinese Calcio,€7.50m,End of loan,Bruno Fernandes
16/17,"Aug 16, 2016",Udinese Calcio,Sampdoria,€6.50m,Loan fee:€1.00m,Bruno Fernandes
13/14,"Jul 1, 2013",Novara,Udinese Calcio,€3.50m,€2.50m,Bruno Fernandes
12/13,"Aug 27, 2012",Boavista U19,Novara,-,€40Th.,Bruno Fernandes
11/12,"Jul 1, 2011",Boavista U17,Boavista U19,-,-,Bruno Fernandes
09/10,"Jul 1, 2009",Boavista U15,Boavista U17,-,-,Bruno Fernandes
07/08,"Jul 1, 2007",Boavista CJ,Boavista U15,-,-,Bruno Fernandes
15/16,"Jul 2, 2015",VfB Stuttgart,FC Bayern ,€5.00m,€8.50m,Joshua Kimmich
15/16,"Jul 1, 2015",RB Leipzig,VfB Stuttgart,€5.00m,€1.50m,Joshua Kimmich
13/14,"Jul 5, 2013",Stuttgart U19,RB Leipzig,-,€500Th.,Joshua Kimmich
12/13,"Jul 1, 2012",Stuttgart U17,Stuttgart U19,-,-,Joshua Kimmich
10/11,"Jul 1, 2010",Stuttgart Yth.,Stuttgart U17,-,-,Joshua Kimmich
07/08,"Jul 1, 2007",Bösingen Yth.,Stuttgart Yth.,-,free transfer,Joshua Kimmich
14/15,"Jul 16, 2014",Benfica,Atlético Madrid,€4.00m,€16.00m,Jan Oblak
12/13,"Jun 30, 2013",Rio Ave FC,Benfica,€2.40m,End of loan,Jan Oblak
12/13,"Sep 9, 2012",Benfica,Rio Ave FC,€250Th.,loan transfer,Jan Oblak
11/12,"Jun 30, 2012",Leiria,Benfica,€1.10m,End of loan,Jan Oblak
11/12,"Sep 9, 2011",Benfica,Leiria,€250Th.,loan transfer,Jan Oblak
10/11,"Jun 30, 2011",Olhanense,Benfica,€750Th.,End of loan,Jan Oblak
10/11,"Jan 4, 2011",Benfica,Olhanense,-,loan transfer,Jan Oblak
09/10,"Jun 30, 2010",Beira-Mar,Benfica,€90.00m,End of loan,Jan Oblak
09/10,"Jan 5, 2010",Benfica,Beira-Mar,-,loan transfer,Jan Oblak
09/10,"Jan 4, 2010",NK Olimpija,Benfica,-,€4.00m,Jan Oblak
08/09,"Jan 1, 2009",Olimpija U19,NK Olimpija,-,-,Jan Oblak
19/20,"Aug 8, 2019",Man Utd,Inter,€75.00m,€74.00m,Romelu Lukaku
17/18,"Jul 10, 2017",Everton,Man Utd,€50.00m,€84.70m,Romelu Lukaku
14/15,"Jul 30, 2014",Chelsea,Everton,€25.00m,€35.36m,Romelu Lukaku
13/14,"May 31, 2014",Everton,Chelsea,€25.00m,End of loan,Romelu Lukaku
13/14,"Sep 2, 2013",Chelsea,Everton,€24.00m,Loan fee:€3.50m,Romelu Lukaku
12/13,"May 31, 2013",West Brom,Chelsea,€19.00m,End of loan,Romelu Lukaku
12/13,"Aug 10, 2012",Chelsea,West Brom,€14.00m,loan transfer,Romelu Lukaku
11/12,"Aug 8, 2011",RSC Anderlecht,Chelsea,€15.00m,€15.00m,Romelu Lukaku
09/10,"Jul 1, 2009",Anderlecht U17,RSC Anderlecht,€400Th.,-,Romelu Lukaku
08/09,"Jul 1, 2008",Anderlecht Yth.,Anderlecht U17,-,-,Romelu Lukaku
06/07,"Jul 1, 2006",Lierse SK Yth.,Anderlecht Yth.,-,?,Romelu Lukaku
15/16,"Jan 1, 2016",Man Utd U18,Man Utd,-,-,Marcus Rashford
15/16,"Aug 28, 2015",Bay. Leverkusen,Spurs,€16.00m,€30.00m,Heung-min Son
13/14,"Jul 1, 2013",Hamburger SV,Bay. Leverkusen,€14.00m,€10.00m,Heung-min Son
10/11,"Jul 1, 2010",Hamburg U19,Hamburger SV,-,-,Heung-min Son
09/10,"Dec 31, 2009",FC Seoul U18,Hamburg U19,-,End of loan,Heung-min Son
09/10,"Jul 2, 2009",Hamburg U19,FC Seoul U18,-,loan transfer,Heung-min Son
09/10,"Jul 1, 2009",Hamburg U17,Hamburg U19,-,-,Heung-min Son
08/09,"Aug 1, 2008",School Team SK,Hamburg U17,-,free transfer,Heung-min Son
20/21,"Sep 23, 2020",FC Barcelona B,FC Barcelona,€50.00m,-,Ansu Fati
19/20,"Dec 4, 2019",Barça U19,FC Barcelona B,€25.00m,-,Ansu Fati
18/19,"Jul 1, 2018",Barça U18,Barça U19,-,-,Ansu Fati
17/18,"Jul 1, 2017",Barça U16,Barça U18,-,-,Ansu Fati
16/17,"Jul 1, 2016",Barcelona Yth.,Barça U16,-,-,Ansu Fati
12/13,"Jul 1, 2012",Sevilla FC Yth.,Barcelona Yth.,-,free transfer,Ansu Fati
19/20,"Jul 3, 2019",Benfica,Atlético Madrid,€70.00m,€127.20m,João Félix
18/19,"Jul 1, 2018",Benfica B,Benfica,€2.00m,-,João Félix
17/18,"Dec 1, 2017",Benfica U19,Benfica B,€500Th.,-,João Félix
16/17,"Sep 29, 2016",Benfica U17,Benfica U19,-,-,João Félix
15/16,"Jul 1, 2015",FC Porto U17,Benfica U17,-,free transfer,João Félix
14/15,"Jul 1, 2014",FC Porto U15,FC Porto U17,-,-,João Félix
12/13,"Jul 1, 2012",FC Porto Youth,FC Porto U15,-,-,João Félix
19/20,"Jul 1, 2019",Ajax,FC Barcelona,€85.00m,€86.00m,Frenkie de Jong
16/17,"Jul 1, 2016",Ajax U21,Ajax,€600Th.,-,Frenkie de Jong
15/16,"Dec 31, 2015",Willem II,Ajax U21,€400Th.,End of loan,Frenkie de Jong
15/16,"Aug 23, 2015",Ajax U21,Willem II,€250Th.,loan transfer,Frenkie de Jong
15/16,"Aug 22, 2015",Willem II,Ajax U21,€250Th.,€10.13m,Frenkie de Jong
14/15,"May 1, 2015",Willem II U21,Willem II,-,-,Frenkie de Jong
14/15,"Feb 1, 2015",Willem II U19,Willem II U21,-,-,Frenkie de Jong
14/15,"Sep 1, 2014",Willem II U18,Willem II U19,-,-,Frenkie de Jong
13/14,"May 10, 2014",Willem II/RKC-17,Willem II U18,-,-,Frenkie de Jong
13/14,"Jul 1, 2013",Willem II/RKC Y.,Willem II/RKC-17,-,-,Frenkie de Jong
05/06,"Jul 1, 2005",FC Barcelona B,FC Barcelona,€3.00m,-,Lionel Messi
03/04,"Mar 5, 2004",Barcelona C,FC Barcelona B,-,-,Lionel Messi
03/04,"Nov 28, 2003",Barça U19,Barcelona C,-,-,Lionel Messi
03/04,"Sep 13, 2003",Barça U16,Barça U19,-,-,Lionel Messi
02/03,"Jul 1, 2002",Barcelona Yth.,Barça U16,-,-,Lionel Messi
00/01,"Jul 1, 2000",Newell's U19,Barcelona Yth.,-,free transfer,Lionel Messi
18/19,"Jan 1, 2019",Vancouver,FC Bayern ,€10.00m,€10.00m,Alphonso Davies
16/17,"Jul 15, 2016",Whitecaps FC 2,Vancouver,-,?,Alphonso Davies
15/16,"Feb 23, 2016",Whitecaps Res,Whitecaps FC 2,-,?,Alphonso Davies
19/20,"Jul 18, 2019",Ajax,Juventus,€75.00m,€85.50m,Matthijs de Ligt
16/17,"Jan 1, 2017",Ajax U21,Ajax,€100Th.,-,Matthijs de Ligt
16/17,"Jul 1, 2016",Ajax U19,Ajax U21,€100Th.,-,Matthijs de Ligt
15/16,"Jul 1, 2015",Ajax U17,Ajax U19,-,-,Matthijs de Ligt
14/15,"Jul 1, 2014",Ajax Youth ,Ajax U17,-,-,Matthijs de Ligt
09/10,"Jul 1, 2009",Abcoude Yth.,Ajax Youth ,-,free transfer,Matthijs de Ligt
18/19,"Aug 9, 2018",Chelsea,Real Madrid,€65.00m,€35.00m,Thibaut Courtois
13/14,"Jun 30, 2014",Atlético Madrid,Chelsea,€25.00m,End of loan,Thibaut Courtois
11/12,"Jul 27, 2011",Chelsea,Atlético Madrid,€4.00m,Loan fee:€1.20m,Thibaut Courtois
11/12,"Jul 26, 2011",KRC Genk,Chelsea,€4.00m,€8.95m,Thibaut Courtois
09/10,"Jul 1, 2009",KRC Genk U19,KRC Genk,€50Th.,-,Thibaut Courtois
08/09,"Jul 1, 2008",KRC Genk U17,KRC Genk U19,-,-,Thibaut Courtois
07/08,"Jul 1, 2007",KRC Genk Youth,KRC Genk U17,-,-,Thibaut Courtois
14/15,"Jul 1, 2014",Bor. M'gladbach,FC Barcelona,€20.00m,€12.00m,Marc-André ter Stegen
10/11,"Sep 9, 2010",M'gladbach II,Bor. M'gladbach,€200Th.,-,Marc-André ter Stegen
10/11,"Jul 1, 2010",M'gladbach U19,M'gladbach II,€100Th.,-,Marc-André ter Stegen
09/10,"Jul 1, 2009",M'gladbach U17,M'gladbach U19,-,-,Marc-André ter Stegen
07/08,"Jul 1, 2007",M'gladbach Yth.,M'gladbach U17,-,-,Marc-André ter Stegen
19/20,"Jun 30, 2020",UD Las Palmas,FC Barcelona,€7.20m,End of loan,Pedri
19/20,"Sep 3, 2019",FC Barcelona,UD Las Palmas,-,loan transfer,Pedri
19/20,"Sep 2, 2019",UD Las Palmas,FC Barcelona,-,€10.00m,Pedri
19/20,"Jul 1, 2019",Las Palmas U19,UD Las Palmas,-,-,Pedri
17/18,"Jul 1, 2017",Man City U18,Man City,-,-,Phil Foden
16/17,"Jul 1, 2016",Man City Youth,Man City U18,-,-,Phil Foden
18/19,"Jul 4, 2018",Racing Club,Inter,€25.00m,€25.00m,Lautaro Martínez
15/16,"Jan 1, 2016",Racing Club U20,Racing Club,-,-,Lautaro Martínez
18/19,"Jul 1, 2018",RM Castilla,Real Madrid,€6.00m,-,Federico Valverde
17/18,"Jun 30, 2018",Dep. La Coruña,RM Castilla,€6.00m,End of loan,Federico Valverde
17/18,"Jul 1, 2017",RM Castilla,Dep. La Coruña,€3.00m,loan transfer,Federico Valverde
16/17,"Jul 22, 2016",Peñarol,RM Castilla,€450Th.,€5.00m,Federico Valverde
14/15,"May 19, 2015",Peñarol U19,Peñarol,-,-,Federico Valverde
19/20,"Jul 4, 2019",Atlético Madrid,Man City,€80.00m,€62.70m,Rodri
18/19,"Jul 1, 2018",Villarreal,Atlético Madrid,€25.00m,€20.00m,Rodri
16/17,"Jul 1, 2016",Villarreal CF B,Villarreal,-,-,Rodri
15/16,"Jul 1, 2015",Villarreal U19,Villarreal CF B,-,-,Rodri
13/14,"Jul 1, 2013",Atlético Juv. B,Villarreal U19,-,free transfer,Rodri
12/13,"Jul 1, 2012",Atlético Youth,Atlético Juv. B,-,-,Rodri
07/08,"Jul 1, 2007",CF Rayo Majadaho,Atlético Youth,-,free transfer,Rodri
15/16,"Jan 1, 2016",Real Sociedad B,Real Sociedad,-,-,Mikel Oyarzabal
15/16,"Jul 1, 2015",R. Sociedad U19,Real Sociedad B,-,-,Mikel Oyarzabal
20/21,"Sep 4, 2020",Bay. Leverkusen,Chelsea,€81.00m,€80.00m,Kai Havertz
16/17,"Jul 1, 2016",Leverkusen U17,Bay. Leverkusen,€100Th.,-,Kai Havertz
14/15,"Jul 1, 2014",Leverkusen Yth.,Leverkusen U17,-,-,Kai Havertz
10/11,"Jul 1, 2010",Aachen Yth.,Leverkusen Yth.,-,free transfer,Kai Havertz
09/10,"Jul 1, 2009",Mariadorf Yth.,Aachen Yth.,-,free transfer,Kai Havertz
19/20,"Jul 1, 2019",Real Madrid,Atlético Madrid,€20.00m,€30.00m,Marcos Llorente
16/17,"Jun 30, 2017",Alavés,Real Madrid,€15.00m,End of loan,Marcos Llorente
16/17,"Aug 10, 2016",Real Madrid,Alavés,€800Th.,loan transfer,Marcos Llorente
16/17,"Jul 1, 2016",RM Castilla,Real Madrid,-,-,Marcos Llorente
14/15,"Jul 1, 2014",Real Madrid U19,RM Castilla,€200Th.,-,Marcos Llorente
13/14,"Jul 1, 2013",Real Madrid U18,Real Madrid U19,-,-,Marcos Llorente
12/13,"Jul 1, 2012",Real Madrid U17,Real Madrid U18,-,-,Marcos Llorente
11/12,"Jul 1, 2011",R. Madrid Yth.,Real Madrid U17,-,-,Marcos Llorente
08/09,"Jul 1, 2008",CF Rayo Majadaho,R. Madrid Yth.,-,free transfer,Marcos Llorente
15/16,"Aug 6, 2015",KRC Genk,Lazio,€4.00m,€18.00m,Sergej Milinković-Savić
14/15,"Jul 1, 2014",Vojvodina,KRC Genk,€400Th.,€1.00m,Sergej Milinković-Savić
13/14,"Jul 1, 2013",Vojvodina U19,Vojvodina,€100Th.,-,Sergej Milinković-Savić
12/13,"Jul 1, 2012",Vojvodina U17,Vojvodina U19,-,-,Sergej Milinković-Savić
10/11,"Jul 1, 2010",Vojvodina U15,Vojvodina U17,-,-,Sergej Milinković-Savić
06/07,"Aug 1, 2006",GAK Youth,Vojvodina U15,-,free transfer,Sergej Milinković-Savić
01/02,"Jan 1, 2002",Unknown,GAK Youth,-,?,Sergej Milinković-Savić
20/21,"Sep 29, 2020",Benfica,Man City,€35.00m,€68.00m,Rúben Dias
17/18,"Jul 1, 2017",Benfica B,Benfica,€1.00m,-,Rúben Dias
15/16,"Jul 1, 2015",Benfica U19,Benfica B,-,-,Rúben Dias
14/15,"Jul 1, 2014",Benfica U17,Benfica U19,-,-,Rúben Dias
12/13,"Jul 1, 2012",Benfica U15,Benfica U17,-,-,Rúben Dias
10/11,"Jul 1, 2010",SL Benfica Yout,Benfica U15,-,-,Rúben Dias
17/18,"Jul 1, 2017",Monaco,Man City,€40.00m,€50.00m,Bernardo Silva
14/15,"Jan 20, 2015",Benfica,Monaco,€3.50m,€15.75m,Bernardo Silva
14/15,"Jan 19, 2015",Monaco,Benfica,€3.50m,End of loan,Bernardo Silva
14/15,"Aug 7, 2014",Benfica,Monaco,€2.50m,loan transfer,Bernardo Silva
14/15,"Jul 1, 2014",Benfica B,Benfica,€2.50m,-,Bernardo Silva
13/14,"Jul 1, 2013",Benfica U19,Benfica B,-,-,Bernardo Silva
11/12,"Jul 1, 2011",Benfica U17,Benfica U19,-,-,Bernardo Silva
09/10,"Jul 1, 2009",Benfica U15,Benfica U17,-,-,Bernardo Silva
07/08,"Jul 1, 2007",SL Benfica Yout,Benfica U15,-,-,Bernardo Silva
17/18,"Jul 21, 2017",Hull City,Liverpool,€7.00m,€9.00m,Andrew Robertson
14/15,"Jul 29, 2014",Dundee United,Hull City,€600Th.,€3.60m,Andrew Robertson
13/14,"Jul 1, 2013",Queen's Park,Dundee United,-,free transfer,Andrew Robertson
12/13,"Jul 1, 2012",Queen's P. U20,Queen's Park,-,-,Andrew Robertson
20/21,"Jul 15, 2020",Man City,FC Bayern ,€80.00m,€45.00m,Leroy Sané
16/17,"Aug 2, 2016",FC Schalke 04,Man City,€30.00m,€52.00m,Leroy Sané
15/16,"Jul 1, 2015",Schalke 04 U19,FC Schalke 04,€4.00m,-,Leroy Sané
13/14,"Jul 1, 2013",Schalke 04 U17,Schalke 04 U19,-,-,Leroy Sané
11/12,"Jul 1, 2011",Leverkusen Yth.,Schalke 04 U17,-,free transfer,Leroy Sané
08/09,"Jul 1, 2008",Schalke 04 Yth.,Leverkusen Yth.,-,free transfer,Leroy Sané
05/06,"Jul 1, 2005",Wattensch. Yth.,Schalke 04 Yth.,-,free transfer,Leroy Sané
13/14,"Jul 19, 2013",AS Roma,Paris SG,€15.00m,€31.40m,Marquinhos
12/13,"Jan 3, 2013",Corinthians,AS Roma,€750Th.,€5.70m,Marquinhos
12/13,"Jan 2, 2013",AS Roma,Corinthians,€750Th.,End of loan,Marquinhos
12/13,"Aug 21, 2012",Corinthians,AS Roma,€750Th.,Loan fee:€1.50m,Marquinhos
11/12,"Jan 1, 2012",Corinthians B,Corinthians,-,-,Marquinhos
11/12,"Jul 1, 2011",Lens,Real Madrid,€4.00m,€10.00m,Raphaël Varane
10/11,"Nov 1, 2010",RC Lens B,Lens,-,-,Raphaël Varane
10/11,"Jul 1, 2010",RC Lens U19,RC Lens B,-,-,Raphaël Varane
17/18,"Jun 30, 2018",TSG Hoffenheim,FC Bayern ,€20.00m,End of loan,Serge Gnabry
17/18,"Jul 14, 2017",FC Bayern ,TSG Hoffenheim,€15.00m,Loan fee:€1.00m,Serge Gnabry
17/18,"Jul 1, 2017",Werder Bremen,FC Bayern ,€15.00m,€8.00m,Serge Gnabry
16/17,"Aug 31, 2016",Arsenal,Werder Bremen,€2.50m,€5.00m,Serge Gnabry
15/16,"Feb 1, 2016",West Brom,Arsenal,€3.50m,End of loan,Serge Gnabry
15/16,"Aug 7, 2015",Arsenal,West Brom,€3.50m,loan transfer,Serge Gnabry
13/14,"Jul 1, 2013",Arsenal U18,Arsenal,-,-,Serge Gnabry
11/12,"Jul 1, 2011",Stuttgart U17,Arsenal U18,-,€100Th.,Serge Gnabry
10/11,"Jul 1, 2010",Stuttgart Yth.,Stuttgart U17,-,-,Serge Gnabry
05/06,"Jul 1, 2005",Ditzingen Yth.,Stuttgart Yth.,-,free transfer,Serge Gnabry
03/04,"Jul 1, 2003",Weissach Yth.,Ditzingen Yth.,-,free transfer,Serge Gnabry
18/19,"Jul 1, 2018",FC Schalke 04,FC Bayern ,€40.00m,free transfer,Leon Goretzka
13/14,"Jul 2, 2013",VfL Bochum,FC Schalke 04,€4.50m,€3.25m,Leon Goretzka
12/13,"Jul 1, 2012",VfL Bochum U19,VfL Bochum,-,-,Leon Goretzka
11/12,"Oct 1, 2011",VfL Bochum U17,VfL Bochum U19,-,-,Leon Goretzka
10/11,"Jul 1, 2010",VfL Bochum Yth.,VfL Bochum U17,-,-,Leon Goretzka
01/02,"Jul 1, 2001",WSV Bochum Yth.,VfL Bochum Yth.,-,free transfer,Leon Goretzka
17/18,"Jan 1, 2018",Southampton,Liverpool,€30.00m,€84.65m,Virgil van Dijk
15/16,"Sep 1, 2015",Celtic,Southampton,€5.00m,€15.70m,Virgil van Dijk
13/14,"Jul 1, 2013",FC Groningen,Celtic,€3.00m,€2.75m,Virgil van Dijk
11/12,"Jul 1, 2011",Gron./Cam. U21,FC Groningen,€250Th.,-,Virgil van Dijk
10/11,"Jul 1, 2010",Willem II/RKC-19,FC Groning. U21,-,free transfer,Virgil van Dijk
08/09,"Jul 1, 2008",Willem II/RKC-17,Willem II/RKC-19,-,-,Virgil van Dijk
06/07,"Jul 1, 2006",Willem II/RKC Y.,Willem II/RKC-17,-,-,Virgil van Dijk
01/02,"Jul 1, 2001",WDS '19 Jeugd,Willem II/RKC Y.,-,free transfer,Virgil van Dijk
14/15,"Jun 30, 2015",FC Porto,Real Madrid,€7.00m,End of loan,Casemiro
14/15,"Jul 19, 2014",Real Madrid,FC Porto,€6.00m,Loan fee:€1.20m,Casemiro
13/14,"Jul 1, 2013",São Paulo,Real Madrid,€6.00m,€6.00m,Casemiro
12/13,"Jun 30, 2013",RM Castilla,São Paulo,€6.00m,End of loan,Casemiro
12/13,"Jan 31, 2013",São Paulo,RM Castilla,€4.50m,loan transfer,Casemiro
10/11,"Jul 1, 2010",FC São Paulo B,São Paulo,-,-,Casemiro
17/18,"Jul 1, 2017",Juventus,FC Bayern ,€20.00m,€21.00m,Kingsley Coman
16/17,"Jun 30, 2017",FC Bayern ,Juventus,€20.00m,End of loan,Kingsley Coman
15/16,"Aug 30, 2015",Juventus,FC Bayern ,€3.50m,Loan fee:€7.00m,Kingsley Coman
14/15,"Jul 1, 2014",Paris SG,Juventus,€750Th.,free transfer,Kingsley Coman
13/14,"Jul 1, 2013",Paris SG U19,Paris SG,-,-,Kingsley Coman
12/13,"Jan 1, 2013",Paris SG U17,Paris SG U19,-,-,Kingsley Coman
11/12,"Jul 1, 2011",PSG Youth,Paris SG U17,-,-,Kingsley Coman
20/21,"Jul 1, 2020",RB Leipzig,Chelsea,€64.00m,€53.00m,Timo Werner
16/17,"Jul 1, 2016",VfB Stuttgart,RB Leipzig,€8.00m,€22.20m,Timo Werner
13/14,"Jul 1, 2013",Stuttgart U19,VfB Stuttgart,-,-,Timo Werner
12/13,"Jul 1, 2012",Stuttgart U17,Stuttgart U19,-,-,Timo Werner
10/11,"Jan 1, 2011",Stuttgart Yth.,Stuttgart U17,-,-,Timo Werner
02/03,"Jul 1, 2002",Steinhald. Yth.,Stuttgart Yth.,-,free transfer,Timo Werner
18/19,"Jul 19, 2018",AS Roma,Liverpool,€60.00m,€62.50m,Alisson
16/17,"Jul 6, 2016",Internacional,AS Roma,€7.00m,€8.00m,Alisson
12/13,"Jan 1, 2013",Inter B,Internacional,€150Th.,-,Alisson
11/12,"Jan 1, 2012",Inter U20,Inter B,-,-,Alisson
18/19,"Jan 1, 2019",Rennes B,Stade Rennais,-,-,Eduardo Camavinga
18/19,"Jul 1, 2018",Rennes U19,Rennes B,-,-,Eduardo Camavinga
19/20,"Jul 1, 2019",Arsenal U23,Arsenal,-,-,Bukayo Saka
18/19,"Jul 1, 2018",Arsenal U18,Arsenal U23,-,-,Bukayo Saka
17/18,"Jul 1, 2017",Arsenal FC Yout,Arsenal U18,-,-,Bukayo Saka
19/20,"Jul 3, 2019",G. Bordeaux,Sevilla FC,€15.00m,€25.00m,Jules Koundé
17/18,"Oct 10, 2017",G. Bordeaux B,G. Bordeaux,-,-,Jules Koundé
16/17,"Jul 1, 2016",Bordeaux U19,G. Bordeaux B,-,-,Jules Koundé
18/19,"Jul 24, 2018",Watford,Everton,€25.00m,€39.20m,Richarlison
17/18,"Aug 8, 2017",Fluminense,Watford,€2.00m,€12.40m,Richarlison
15/16,"Jan 1, 2016",América-MG,Fluminense,€700Th.,€2.38m,Richarlison
14/15,"May 1, 2015",América-MG U20,América-MG,-,-,Richarlison
16/17,"Jan 1, 2017",Palmeiras,Man City,€16.00m,€32.00m,Gabriel Jesus
14/15,"Jan 1, 2015",Palmeiras U17,Palmeiras,-,-,Gabriel Jesus
17/18,"Jul 1, 2017",West Ham U23,West Ham,-,-,Declan Rice
16/17,"Jul 1, 2016",West Ham U18,West Ham U23,-,-,Declan Rice
15/16,"Jul 1, 2015",West Ham Yth.,West Ham U18,-,-,Declan Rice
13/14,"Jul 1, 2013",Chelsea Youth,West Ham Yth.,-,free transfer,Declan Rice
19/20,"Jul 1, 2019",Chelsea U23,Chelsea,€12.00m,-,Mason Mount
18/19,"May 31, 2019",Derby,Chelsea U23,€10.00m,End of loan,Mason Mount
18/19,"Jul 17, 2018",Chelsea U23,Derby,€4.00m,loan transfer,Mason Mount
17/18,"Jun 30, 2018",Vitesse,Chelsea U23,€4.00m,End of loan,Mason Mount
